"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"froad",-4.50862031311013,0.429240669237589,-5.34991656584182,-4.50862031311013,-3.66732406037845,-4.50862031311013,0
"fTmin",1.50470220961295,0.180725000437646,1.15048771751186,1.50470220961295,1.85891670171404,1.50470220961295,0
"fprecip",1.16603159282409,0.0984025100444948,0.973166217073768,1.16603159282409,1.3588969685744,1.16603159282409,0
"fhumid",0.889839802465848,0.138539559919823,0.618307254483703,0.889839802465848,1.16137235044799,0.889839802465848,0
"fsolar",-0.767972992038846,0.0920748811395317,-0.948436443023094,-0.767972992038846,-0.587509541054598,-0.767972992038846,0
"fTrange",2.48777439101091,0.238088881098611,2.02112875875729,2.48777439101091,2.95442002326453,2.48777439101091,0
"fwet",-0.508988309142097,0.0909251156440482,-0.687198261163656,-0.508988309142097,-0.330778357120537,-0.508988309142097,0
"fdrain",-0.238537084909737,0.0530591593033413,-0.342531126234574,-0.238537084909737,-0.1345430435849,-0.238537084909737,0
"Intercept",-21.4234894161525,0.318711150017485,-22.0481517919003,-21.4234894161525,-20.7988270404048,-21.4234894161525,0
