,mean,sd,0.025quant,0.5quant,0.975quant,mode,kld
POobs_intercept,-20.90372764,0.231332685,-21.35713137,-20.90372764,-20.45032391,-20.90372764,0
topo_wetness,-0.417057378,0.090940323,-0.595297137,-0.417057378,-0.23881762,-0.417057378,0
precip_warmQtr,1.282984591,0.101836986,1.083387767,1.282984591,1.482581415,1.282984591,0
solRad_winter,-1.000842167,0.084328827,-1.16612363,-1.000842167,-0.835560704,-1.000842167,0
temp_minColdMonth,1.141542386,0.161518144,0.824972641,1.141542386,1.458112132,1.141542386,0
temp_annRange,1.886358298,0.20347927,1.487546258,1.886358298,2.285170338,1.886358298,0
humidity_meanAnn,0.475466669,0.120643824,0.239009119,0.475466669,0.711924218,0.475466669,0
distance_road,-3.961696445,0.3235835,-4.595908452,-3.961696445,-3.327484438,-3.961696445,0
soil_drainage,-0.255850295,0.052193941,-0.35814854,-0.255850295,-0.15355205,-0.255850295,0
PAobs_intercept,-6.890436336,0.496945186,-7.864431002,-6.890436336,-5.916441669,-6.890436336,0
